City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
332,Padang,ID,-0.9492,100.3543,77.61,88,82,3.49,moderate rain
333,Moron,AR,-34.6534,-58.6198,84.02,51,4,6.24,clear sky
334,Thaba-Tseka,LS,-29.522,28.6084,70.0,39,63,12.75,broken clouds
335,Clarksburg,US,39.2807,-80.3445,14.79,68,0,10.36,clear sky
336,Norman Wells,CA,65.282,-126.8329,-27.36,68,75,4.61,light snow
337,Najran,SA,17.4924,44.1277,74.05,34,46,4.38,scattered clouds
338,Kamuli,UG,0.9472,33.1197,79.36,30,33,1.68,scattered clouds
339,Mezhdurechensk,RU,53.6942,88.0603,1.69,98,86,2.15,overcast clouds
340,Sturgis,US,41.7992,-85.4192,16.07,79,100,6.91,overcast clouds
341,Richards Bay,ZA,-28.783,32.0377,76.28,77,32,7.78,scattered clouds
342,Muli,MV,2.9167,73.5667,81.79,66,81,7.34,broken clouds
343,Mount Isa,AU,-20.7333,139.5,74.97,100,40,0.0,scattered clouds
344,Inongo,CD,-1.95,18.2667,84.31,47,63,1.9,broken clouds
