City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
449,Zemio,CF,88.61,clear sky,5.0314,25.1361,OCHA Office
450,Japura,ID,77.92,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
452,Ondjiva,AO,91.85,overcast clouds,-17.0667,15.7333,COMBUESA
455,Santa Marta,CO,85.89,few clouds,11.2408,-74.199,Casa de Isabella
456,Lompoc,US,64.09,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
459,Acari,PE,78.76,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
460,Port Keats,AU,81.82,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
462,Mgandu,TZ,62.06,overcast clouds,-5.95,34.1333,
468,Tupiza,BO,64.51,overcast clouds,-21.45,-65.7167,La Torre Hotel
470,Rocha,UY,79.5,few clouds,-34.4833,-54.3333,Hotel Arrarte
471,Bac Lieu,VN,76.82,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
474,Barra Patuca,HN,79.02,broken clouds,15.8,-84.2833,
475,Thinadhoo,MV,81.25,overcast clouds,0.5333,72.9333,
477,Umm Kaddadah,SD,67.68,scattered clouds,13.6017,26.6876,
478,San Estanislao,CO,84.09,broken clouds,10.3983,-75.1511,Hostal Bugambilia
480,Lumeje,AO,72.41,moderate rain,-11.55,20.7833,
484,Bontang,ID,79.03,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
485,Tiznit,MA,65.93,clear sky,29.5833,-9.5,
486,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
487,Camabatela,AO,68.49,moderate rain,-8.1881,15.375,Pensão E Restaurantes
488,Itarema,BR,83.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
493,Bonanza,NI,78.48,scattered clouds,14.0289,-84.591,Edificio Administrativo HEMCO
494,Kualakapuas,ID,78.96,overcast clouds,-3.0091,114.3876,Guest House Izonk
495,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
499,Ponferrada,ES,61.07,clear sky,42.5466,-6.5962,Hotel Temple Ponferrada
500,Ribeira Brava,PT,70.72,broken clouds,32.65,-17.0667,Hotel do Campo
502,Tadine,NC,79.16,overcast clouds,-21.55,167.8833,
505,Gashua,NG,81.0,few clouds,12.871,11.0482,Forte Oil - Old Lorry Park
507,Sungairaya,ID,77.7,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
509,Luganville,VU,78.37,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
512,Bulungu,CD,84.83,overcast clouds,-4.55,18.6,
514,Payakumbuh,ID,71.71,overcast clouds,-0.2202,100.6308,Dalimo Homestay
515,Colomi,BO,61.07,overcast clouds,-17.35,-65.8667,Casa
516,Maragogi,BR,84.0,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
517,Sanchor,IN,62.96,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
519,Aquiraz,BR,84.18,light rain,-3.9014,-38.3911,Pousada Rua Camurupim
522,Nouadhibou,MR,64.62,overcast clouds,20.931,-17.0347,El Medina
524,Sumenep,ID,78.94,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
530,Kontagora,NG,94.33,few clouds,10.3999,5.4695,Queens Guest Inn
531,Anloga,GH,85.17,broken clouds,5.7947,0.8973,Pin Drop Hotel
533,Buin,CL,79.05,clear sky,-33.7333,-70.75,Paihuen
